"ANOENC"	"NUMERO"	"CCAA"	"NUTS1"	"CAPROV"	"TAMAMU"	"DENSIDAD"	"CLAVE"	"CLATEO"	"FACTOR"	"NMIEMB"	"TAMANO"	"NMIEMSD"	"NMIEMHU"	"NMIEMIN"	"NMIEM1"	"NMIEM2"	"NMIEM3"	"NMIEM4"	"NMIEM5"	"NMIEM6"	"NMIEM7"	"NMIEM8"	"NMIEM9"	"NMIEM10"	"NMIEM11"	"NMIEM12"	"NMIEM13"	"NUMACTI"	"NUMINACTI"	"NUMOCU"	"NUMNOCU"	"NUMESTU"	"NUMNOESTU"	"NNINOSD"	"NHIJOSD"	"UC1"	"UC2"	"PF2TEO"	"PF2RECO"	"TIPHOGAR1"	"TIPHOGAR2"	"TIPHOGAR3"	"TIPHOGAR4"	"TIPHOGAR5"	"TIPHOGAR6"	"TIPHOGAR7"	"TIPHOGAR8"	"TIPHOGAR9"	"TIPHOGAR10"	"TIPHOGAR11"	"SITUOCUHOG"	"SITUACTHOG"	"NORDENSP"	"EDADSP"	"SEXOSP"	"PAISNACSP"	"NACIONASP"	"PAISSP"	"SITURESSP"	"ECIVILLEGALSP"	"NORDENCOSP"	"UNIONSP"	"CONVIVENCIASP"	"NORDENPASP"	"PAISPADRESP"	"NORDENMASP"	"PAISMADRESP"	"ESTUDIOSSP"	"ESTUDREDSP"	"SITUACTSP"	"SITUREDSP"	"OCUSP"	"JORNADASP"	"PERCEPSP"	"IMPEXACPSP"	"INTERINPSP"	"TRABAJO"	"OCUPA"	"OCUPARED"	"ACTESTB"	"ACTESTBRED"	"SITPROF"	"SECTOR"	"CONTRATO"	"TIPOCONT"	"SITSOCI"	"SITSOCIRE"	"REGTEN"	"TIPOEDIF"	"ZONARES"	"TIPOCASA"	"NHABIT"	"ANNOCON"	"SUPERF"	"AGUACALI"	"FUENAGUA"	"CALEF"	"FUENCALE"	"DISPOSIOV"	"NUMOVD"	"REGTENV1"	"MESESV1"	"DIASV1"	"AGUACV1"	"FUENACV1"	"CALEFV1"	"FUENCAV1"	"REGTENV2"	"MESESV2"	"DIASV2"	"AGUACV2"	"FUENACV2"	"CALEFV2"	"FUENCAV2"	"REGTENV3"	"MESESV3"	"DIASV3"	"AGUACV3"	"FUENACV3"	"CALEFV3"	"FUENCAV3"	"REGTENV4"	"MESESV4"	"DIASV4"	"AGUACV4"	"FUENACV4"	"CALEFV4"	"FUENCAV4"	"REGTENV5"	"MESESV5"	"DIASV5"	"AGUACV5"	"FUENACV5"	"CALEFV5"	"FUENCAV5"	"REGTENV6"	"MESESV6"	"DIASV6"	"AGUACV6"	"FUENACV6"	"CALEFV6"	"FUENCAV6"	"REGTENV7"	"MESESV7"	"DIASV7"	"AGUACV7"	"FUENACV7"	"CALEFV7"	"FUENCAV7"	"REGTENV8"	"MESESV8"	"DIASV8"	"AGUACV8"	"FUENACV8"	"CALEFV8"	"FUENCAV8"	"REGTENV9"	"MESESV9"	"DIASV9"	"AGUACV9"	"FUENACV9"	"CALEFV9"	"FUENCAV9"	"GASTOT"	"IMPUTGAS"	"GASTMON"	"GASTNOM1"	"GASTNOM2"	"GASTNOM3"	"GASTNOM4"	"CAPROP"	"CAJENA"	"PENSIO"	"DESEM"	"OTRSUB"	"RENTAS"	"OTROIN"	"FUENPRIN"	"FUENPRINRED"	"IMPEXAC"	"INTERIN"	"NUMPERI"	"COMIMH"	"COMISD"	"COMIHU"	"COMIINV"	"COMITOT"
2023	7643	16	2	6	2	1	1	2	352.105067	4	4	0	0	0	4	0	0	4	0	4	0	0	2	0	2	0	0	2	2	2	2	2	2	2	2	3.1	2.5	2	0	11	11	7	10	10	8	5	4	5	4	4	2	2	1	59	1	1	1		1	2	2	1	1	99	1	99	1	5	4	1	1	1	1	1	-9	05	1	3	2	C	2	1	6	1	1	2	2	1	4	3	2	5	6	80	1	1	1	1	6																																																																	19478025.17	10.18	16356789.94				3121235.23	6	1	6	6	6	6	6	2	2	2767	06	2	33	0	0	0	33
2023	7644	16	2	6	3	2	2	2	547.395455	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	0	2	0	0	2	0	2	0	2	0	0	1.7	1.5	1	1	5	5	4	5	5	5	3	1	2	3	3	8	8	1	80	1	1	1		1	2	2	1	1	99	1	99	1	5	4	7	2	2		1	-9	05	1	7	4	G	3	1	6	1	1	10	6	1	4	3	2	5	6	80	1	2	1	2	6																																																																	24402807.74	0	20314526.32				4088281.42	6	6	1	6	6	6	6	3	3	4372	07	2	22	0	0	32	54
2023	7645	14	6	6	1	1	2	2	497.930929	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	1	1	1	1	0	2	0	0	1.7	1.5	1	1	6	6	5	6	6	5	3	2	2	3	3	5	5	2	48	1	1	1		1	2	1	1	1	99	1	99	1	6	4	1	1	1	1	1	-9	05	1	2	2	G	3	1	6	1	1	2	2	2	4	3	2	6	1	95	1	1	6		1	1	1	12	-9	1	1	6																																																										19402416.86	0	14441881.76				4960535.1	6	1	1	6	6	6	6	2	2	3513	07	2	26	0	0	0	26
2023	7646	14	6	1	1	1	1	2	856.658389	3	3	0	0	0	3	0	0	3	1	2	0	0	2	0	1	0	0	2	1	2	1	1	2	1	1	2.4	2	2	2	10	10	10	9	9	2	7	4	5	5	5	-9	-9	1	40	6	1	1		1	1	99		3	99	1	99	1	4	3	1	1	1	1	1	1100	03	1	5	3	G	3	1	6	1	1	1	1	2	4	3	2	5	1	90	1	1	6		6																																																																	19427196.12	0	16483884.77				2943311.35	6	1	6	6	6	6	1	2	2	2050	05	3	42	0	0	0	42
2023	7647	10	5	6	1	1	2	2	832.362581	3	3	0	0	0	2	1	1	2	1	2	0	1	0	0	2	0	0	2	1	2	1	0	3	1	1	2.2	1.8	1	1	7	7	6	9	9	7	4	3	5	4	4	2	2	1	48	1	1	1		1	2	2	1	1	99	1	99	1	3	2	1	1	1	1	1	-9	03	1	6	4	O	3	1	1	1	1	6	3	1	3	3	2	5	1	86	1	1	6		6																																																																	21981544.26	0	17206937.7				4774606.56	6	1	6	6	6	6	6	2	2	2335	05	2	37	0	0	0	37
2023	7648	16	2	6	4	2	1	2	549.894845	3	3	0	0	0	3	0	0	3	0	3	0	0	0	1	2	0	0	2	1	2	1	0	3	0	0	2.4	2	2	2	11	11	10	7	7	9	4	4	3	6	6	3	3	1	63	1	1	1		1	2	2	1	1	99	1	99	1	5	4	4	2	2		1	-9	04	1	7	4	F	2	1	6	1	1	8	5	1	3	3	2	5	6	87	1	2	1	2	1	1	1	12	-9	1	4	1	4																																																									27164613.52	11.3	18794468.54				8370144.98	6	1	1	6	6	6	6	3	3	3376	07	2	38	0	0	1	39
2023	7649	13	3	6	5	3	2	2	1068.50155	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	2	0	2	0	0	2	0	0	1.7	1.5	1	1	6	6	5	6	6	5	3	2	2	3	3	2	2	2	46	6	1	1		1	2	1	1	1	99	1	99	1	7	4	1	1	1	1	1	-9	-9	1	1	1	J	3	1	6	1	1	2	2	2	2	3	1	5	1	150	1	2	1	2	6																																																																	77572076.85	10.11	69728431.36				7843645.49	6	1	6	6	6	6	6	2	2	2686	06	2	24	0	0	0	24
2023	7650	08	4	6	5	3	1	2	475.799843	4	4	0	0	0	4	0	1	3	1	3	0	1	1	0	2	0	0	2	2	1	3	1	3	2	2	3.1	2.5	3	3	11	11	7	10	10	7	5	4	5	4	4	5	2	1	54	1	1	1		1	2	2	1	1	99	1	99	1	3	2	1	1	1	1	1	-9	04	1	7	4	C	2	1	6	1	1	1	1	2	2	3	2	8	1	210	1	4	1	4	6																																																																	18271638.86	0	14457208.8				3814430.06	6	1	6	6	6	6	6	2	2	1764	04	1	56	0	0	0	56
2023	7651	13	3	6	1	1	2	2	1229.052325	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	0	1	1	0	2	0	2	0	2	0	0	1.7	1.5	1	1	5	5	4	5	5	5	3	1	2	3	3	8	8	1	77	1	1	1		1	2	2	1	1	99	1	99	1	4	3	4	2	2		1	2471	05	1	4	3	H	3	1	6	1	1	8	5	1	4	3	2	6	6	142	1	2	1	2	1	1	1	12	-9	1	4	1	4																																																									48743162.7	40.75	28879167.9				19863994.8	6	6	1	6	6	6	6	3	3	2471	05	1	28	0	0	0	28
2023	7652	16	2	6	5	2	1	1	448.279445	4	4	0	0	0	4	0	0	4	0	4	0	0	1	1	2	0	0	3	1	3	1	1	3	1	1	3.1	2.5	3	3	11	11	10	12	12	9	5	4	6	5	5	1	1	1	56	1	1	1		1	2	2	1	1	99	1	99	1	4	3	1	1	1	1	1	-9	03	1	5	3	G	3	3	-9	-9	-9	5	3	1	2	3	1	5	6	160	1	3	1	3	6																																																																	16944519.51	0	8186058.55		1970244.22		6788216.74	1	1	6	6	6	6	6	1	1	3743	07	3	53	0	0	0	53
