id,factor,c_autonoma,tam_municipio,tamano_ocde,n_menores,n_mayores,n_ocupados,hombre,edad,ocupado,estudios,sector_publico,ingresos_hogar,alquiler,n_habitaciones,tipo_hogar,prop_alimentacion,prop_alcohol_tabaco,prop_ropa_calzado,prop_vivienda,prop_mobiliario,prop_salud,prop_transporte,prop_comunicaciones,prop_ocio_cultura,prop_educacion,prop_hoteles_restaurantes,prop_bienes_servicios,gasto_total,gasto_total_crudo,log_gasto_total_crudo,log_ingresos_hogar,movilidad_vs_vivienda,alimentacion_vs_restauracion,otros_bienes_servicios_personales,vivienda_vs_restauracion_alcohol_tabaco,equipamiento_hogar,salud,educacion,ocio_imagen_personal_vs_vivienda,sector_publico_imp,particion,cluster_k9,cluster_9,perfil_consumo
15229,387.339395,País Vasco,Muy Grande,3.1,0,4,2,0,46-65,1,Medio,0.0,3318,0,4.0,Pareja con hijos,0.1951851655183298,0.0044210562309877,0.0032495889378975,0.4848646192862109,0.0320619300417002,0.0101445995079418,0.0404949398165497,0.0294037898761567,0.0501306830067624,0.0030597006244423,0.0954804259010651,0.0515035012519553,12659388.86,32682.936523923672,10.394638998388029,8.107418811719974,0.6265897785323513,-0.04356490179636248,-0.7337843852877209,0.30346680329675063,-0.07960848644014192,-0.3704816707752036,-0.2532229931648859,-0.6022799170570065,0,train,4.0,4,Vivienda
9066,536.805822,País Vasco,Muy Grande,1.7,0,2,2,0,46-65,1,Alto,1.0,5678,0,5.0,Pareja sin hijos,0.0865462961531915,0.0322603586186781,0.0182879064803881,0.297937123828829,0.0300645140404743,0.0207542317677622,0.1909165120179966,0.01816074722212,0.1275728220563891,0.0,0.1041296616977571,0.0733698261164137,16990268.97,31650.679395947383,10.362546487647942,8.644530439877432,-0.8269395977262849,-0.8455533107452973,-0.5349625758850826,-0.34145117200878217,-0.027277631166173925,-0.07585939365753872,-0.5065719510401003,0.7622133712294537,1,train,0.0,0,Ocio y restauración
11409,475.733067,País Vasco,Muy Grande,2.2,1,2,2,1,46-65,1,Medio,1.0,5260,0,5.0,Pareja con hijos,0.0487099555915407,0.0061458714414358,0.0313506218480098,0.1188384369274906,0.0181998996691868,0.0675156727484527,0.1741803846885297,0.0143574987772203,0.0193690383538595,0.0237030342015539,0.1032054558803408,0.3744241298723787,46180030.400000006,97071.30658630464,11.48321140851631,8.568076401730806,-1.3542061795927884,-1.0738082655497245,4.79911166328268,0.006256755419653923,0.36574475484789276,1.1417277436343811,0.7905661776899494,0.22188805307019788,1,train,5.0,5,"Bienes, servicios e imagen personal"
17875,849.071769,Madrid,Mediano,1.7,0,2,0,0,46-65,0,Medio,0.0,1267,0,5.0,Adulto con hijos,0.0109015412350161,0.0001668017154706,0.0051299441931284,0.7078522853656218,0.0005082276574722,0.1830454769795794,0.0,0.0,0.0093321659833045,0.0,0.0108030138104773,0.0722605430599293,18169357.5,21399.08328526702,9.971150092837275,7.145196134997171,1.06575898259937,-1.0442479129636018,-0.6829944369778321,1.451911981769723,-0.38483581388456695,2.5843330859964175,-0.459507850958446,-1.8120635652382968,0,train,8.0,8,Salud
10257,352.918071,País Vasco,Pequeño,1.0,0,1,1,1,46-65,1,Bajo,0.0,1679,0,5.0,Persona sola <65,0.1354806464882774,0.0236220987342635,0.0821058605878725,0.4352617311452744,0.0,0.0707147354779048,0.0674301926418377,0.0068765748235987,0.0,0.0,0.1432697691793978,0.0352383909215731,6097028.109999999,17276.043963189404,9.75713396077937,7.426549072397305,0.045664466913420056,-0.48148731763603325,-0.699250262113226,-0.14093256220771272,-0.31608718518702245,0.6108355038783947,0.05121737524837294,-0.05140684312652833,0,train,0.0,0,Ocio y restauración
12277,1094.277238,Aragón,Grande,4.3,2,4,2,1,46-65,1,Alto,0.0,2777,1,5.0,Pareja con hijos,0.240580241004177,0.0,0.0257919924328514,0.5060179350663684,0.0174739921867638,0.0,0.0754678688581655,0.071228101084093,0.0,0.0,0.0267105379065348,0.0367293314610457,25809838.140000004,23586.196663628318,10.06845932954656,7.9294865233142895,0.6618578034305703,0.6315417389693513,-0.0625039241146567,0.5122153881597237,-1.107109821792063,-0.9942430925039268,-0.6388596207603296,-1.1809338802907312,0,train,4.0,4,Vivienda
13966,966.931639,Galicia,Pequeño,1.7,0,2,0,1,Más de 65,0,Alto,0.0,2205,0,6.0,Pareja sin hijos,0.2316490066651037,0.0334506479108479,0.0124335298582634,0.2092120255666898,0.0158572059621383,0.0153438123841059,0.1789905494038388,0.0199924772697683,0.0,0.0,0.1584562548127165,0.1246144901665268,33116327.76,34248.88215908301,10.441438403073738,7.698936199813447,-1.1816824846734693,0.15297844723045406,0.6700185724317279,-1.236314753787609,0.04057145963912585,-0.027671907606564933,0.061387115935775845,-0.20077619460327922,0,train,1.0,1,Movilidad intensiva
9369,605.319459,Aragón,Pequeño,2.2,1,2,1,0,31-45,1,Medio,0.0,1681,1,5.0,Otros hogares,0.205234575638372,0.000943618489409,0.0158206286874018,0.3613882335292684,0.0001401209449454,0.0112923450876206,0.1057627276220616,0.0760674233120454,0.0044459243748987,0.0,0.130210886941251,0.0886935153727257,10184772.88,16825.450972326995,9.730707389863024,7.427738840532894,0.15103874008294985,-0.15756733357070138,0.8107436240273241,-0.1656421552126725,-1.3002106344029771,-0.6723365641337186,-0.4101310314829284,-0.7021823122582885,0,train,4.0,4,Vivienda
15691,2391.480061,Cataluña,Muy Grande,2.2,1,2,2,0,46-65,1,Alto,0.0,3400,0,4.0,Pareja con hijos,0.2020362638620923,0.0,0.0764645407363297,0.2583420450876531,0.0743904986070043,0.0057437975563413,0.0012296229240792,0.0250296584290375,0.0368012487383716,0.120229800106092,0.1694610075164353,0.0302715164365633,87520001.36999999,36596.58418118,10.507737511232278,8.131824785007195,0.610488291719588,-0.08891790580266823,-0.45714045344190163,0.1353946576617241,0.6804391202615063,-0.5953770803270513,3.9458546024722296,0.7051473961699594,0,train,2.0,2,Educación
7597,802.504617,Canarias,Mediano,1.7,0,2,2,1,46-65,1,Alto,1.0,4700,0,6.0,Otros hogares,0.2341218927187208,0.0,0.0,0.2230994360245851,0.0013908221685886,0.0,0.4596197982498043,0.0401857351735572,0.0,0.0,0.0,0.041582315664744,28756638.27,35833.61099840251,10.486669493015466,8.45553053102413,-3.1891368348237883,0.8489910166915567,-0.31394192215154704,0.35322287621695336,-0.8721473483241203,-0.5811447117138903,-0.4607181775841333,-0.8127101207354946,1,train,1.0,1,Movilidad intensiva
